"Path","Lines","Defs"
"internal\runtime\session_compaction.go","200","type SessionCompactionSnapshot struct { | type SessionCompactionResult struct { | func (r *Runner) CompactionSnapshot(sessionID string) (SessionCompactionSnapshot, error) { | func (r *Runner) CompactSession(sessionID, customInstructions string) (SessionCompactionResult, error) { | func (r *Runner) MicrocompactSession(sessionID string) (SessionCompactionResult, error) { | func (r *Runner) sessionHistory(sessionID string) (session.Session, []session.Message, error) { | func (r *Runner) applyManualCompaction(sess session.Session, result compaction.Result) error { | func (r *Runner) latestSummaryMemory(sessionID string) string { | func sessionCompactionResult(result compaction.Result) SessionCompactionResult { | func cloneCompactedMessages(messages []model.Message) []session.Message { | func newCompactBoundaryMessage(sessionID string) session.Message { | func (r *Runner) compactorForSession(sessionID string) *compaction.Service {"
"internal\runtime\session_compaction_dynamic_test.go","44","func TestRunnerCompactionSnapshotUsesResolvedModelLimits(t *testing.T) {"
"internal\runtime\session_compaction_test.go","132","func TestRunnerCompactSessionUpdatesSessionMessagesAndMetadata(t *testing.T) { | func TestRunnerMicrocompactSessionMarksMetadataWhenToolOutputIsCompacted(t *testing.T) {"
"internal\runtime\shell_runtime_test.go","40","func TestResolveWorkDirPrefersSessionWorktree(t *testing.T) { | func TestFromQueryEventPreservesStructuredShellPayload(t *testing.T) {"
"internal\runtime\tool_progress_test.go","35","func TestFromQueryEventCarriesToolIdentityAndProgress(t *testing.T) {"
"internal\runtime\worktree.go","105","type AgentWorktree struct { | type WorktreeManager interface { | type gitWorktreeManager struct{} | func newGitWorktreeManager() WorktreeManager { | func (gitWorktreeManager) Create(ctx context.Context, baseDir, slug string) (AgentWorktree, error) { | func (gitWorktreeManager) HasChanges(ctx context.Context, worktreePath, headCommit string) (bool, error) { | func (gitWorktreeManager) Remove(ctx context.Context, worktree AgentWorktree) error { | func gitOutput(ctx context.Context, dir string, args ...string) (string, error) { | func gitCombinedOutput(ctx context.Context, dir string, args ...string) ([]byte, error) {"
"internal\sandbox\router.go","226","type Executor interface { | type ShellFlavor string | const ( | type RunOptions struct { | type DetailedExecutor interface { | type DetailedExecutorWithOptions interface { | type ExecutionResult struct { | type Router struct { | func NewRouter(host, sandbox Executor) *Router { | func (r *Router) Run(ctx context.Context, sess session.Session, command string) (string, error) { | func (r *Router) RunDetailed(ctx context.Context, sess session.Session, command string) (ExecutionResult, error) { | func (r *Router) RunWithOptions(ctx context.Context, sess session.Session, command string, options RunOptions) (string, error) { | func (r *Router) RunDetailedWithOptions(ctx context.Context, sess session.Session, command string, options RunOptions) (ExecutionResult, error) { | func normalizedRunOptions(sess session.Session, options RunOptions) RunOptions { | func withWorkingDirectoryPrefix(workDir, command string) string { | type HostExecutor struct{} | func (HostExecutor) Run(ctx context.Context, command string) (string, error) { | func (HostExecutor) RunDetailed(ctx context.Context, command string) (ExecutionResult, error) { | func (HostExecutor) RunDetailedWithOptions(ctx context.Context, command string, options RunOptions) (ExecutionResult, error) { | func buildHostCommand(ctx context.Context, command string, options RunOptions) *exec.Cmd { | type MockSandboxExecutor struct{} | func (MockSandboxExecutor) Run(_ context.Context, command string) (string, error) { | func (MockSandboxExecutor) RunDetailed(_ context.Context, command string) (ExecutionResult, error) { | func (r ExecutionResult) Output() string { | func exitCodeFromError(err error) int {"
"internal\sandbox\router_test.go","124","type captureExecutor struct { | func (e *captureExecutor) Run(_ context.Context, command string) (string, error) { | func TestRouterRoutesBySessionMainFlag(t *testing.T) { | func TestRouterAppliesWorktreeWorkingDirectoryPrefix(t *testing.T) { | func TestRouterRunWithOptionsUsesExplicitWorkingDirectory(t *testing.T) { | func TestBuildHostCommandUsesRequestedShellFlavor(t *testing.T) {"
"internal\session\manager.go","334","type Session = model.Session | type SessionMetadata = model.SessionMetadata | type Manager struct { | func NewManager(sessionStore store.SessionStore) *Manager { | func (m *Manager) GetByID(id string) (Session, bool) { | func (m *Manager) GetByKey(key string) (Session, bool) { | func (m *Manager) GetOrCreateMain(agentID string) Session { | func (m *Manager) Resolve(agentID, sessionKey string) (Session, error) { | func (m *Manager) CreateChild(agentID, key string) Session { | func (m *Manager) AppendMessage(sessionID, role, content string) (Message, error) { | func (m *Manager) AppendMessageWithBlocks(sessionID, role, content, providerMessageID string, blocks []model.MessageBlock) (Message, error) { | func (m *Manager) AppendModelMessage(sessionID string, msg Message) (Message, error) { | func (m *Manager) Messages(sessionID string) ([]Message, bool) { | func (m *Manager) TranscriptMessages(sessionID string) ([]model.ClaudeTranscriptMessage, bool) { | func (m *Manager) TranscriptEntries(sessionID string) ([]model.ClaudeTranscriptEntry, bool) { | func (m *Manager) AppendTranscriptMessage(sessionID string, entry model.ClaudeTranscriptMessage) (Message, error) { | func (m *Manager) AppendTranscriptEntry(sessionID string, entry model.ClaudeTranscriptEntry) (Message, error) { | func (m *Manager) ContinuationMessages(sessionID string) ([]Message, bool) { | func (m *Manager) RecoverySnapshot(sessionID string) (RecoverySnapshot, bool) { | func (m *Manager) ContinuationState(sessionID string) (ContinuationState, bool) { | func (m *Manager) ListSessions() []Session { | func (m *Manager) ReplaceMessages(sessionID string, messages []Message) error { | func (m *Manager) ReplaceTranscriptMessages(sessionID string, entries []model.ClaudeTranscriptMessage) error { | func (m *Manager) UpdateMetadata(sessionID string, update func(*SessionMetadata)) error { | func (m *Manager) seedCountersFromStore() { | func parseCounterSuffix(value string, prefixes ...string) (uint64, bool) {"
"internal\session\manager_test.go","176","func TestManagerSeedsSessionAndMessageCountersFromPersistentStore(t *testing.T) { | func TestManagerAppendMessageUpdatesSessionMetadata(t *testing.T) { | func TestManagerUpdateMetadataPersistsSessionMetadata(t *testing.T) { | func TestManagerExposesTranscriptMessagesFromStore(t *testing.T) { | func TestManagerAppendTranscriptMessageUpdatesRuntimeMetadata(t *testing.T) {"
"internal\session\message.go","5","type Message = model.Message"
"internal\session\recovery.go","356","type RecoverySnapshot struct { | type ContinuationStatus string | const ( | type ContinuationState struct { | type RecoveredInvokedSkillInfo struct { | func BuildRecoverySnapshot(sess Session, messages []Message) RecoverySnapshot { | func (s RecoverySnapshot) LastUserMessage() (Message, bool) { | func (s RecoverySnapshot) LastAssistantMessage() (Message, bool) { | func (s RecoverySnapshot) CompactBoundary() (Message, bool) { | func (s RecoverySnapshot) CompactionSummary() (Message, bool) { | func (s RecoverySnapshot) HasCompaction() bool { | func (s RecoverySnapshot) RecoveredInvokedSkills() []RecoveredInvokedSkillInfo { | func RecoveredInvokedSkillsFromMessages(messages []Message) []RecoveredInvokedSkillInfo { | func (s RecoverySnapshot) ContinuationState() ContinuationState { | func ContinuationMessages(messages []Message) []Message { | func synthesizedContinuationMessages(sess Session, messages []Message) []Message { | func isCompactBoundary(message Message) bool { | func isCompactionSummary(message Message) bool { | func cloneMessages(messages []Message) []Message { | func messageByID(messages []Message, messageID string) (Message, bool) { | func latestMessageByRole(messages []Message, role string) (Message, bool) { | func latestContinuationAnchor(messages []Message) (Message, bool) { | func synthesizeCompactionAnchors(sess Session, continuation []Message) []Message { | type invokedSkillsAttachmentPayload struct { | type invokedSkillsAttachmentInfo struct { | func parseInvokedSkillsAttachment(content string) (invokedSkillsAttachmentPayload, bool) { | func isInvokedSkillsAttachment(message Message) bool { | func (skill invokedSkillsAttachmentInfo) toRecoveredInvokedSkillInfo() RecoveredInvokedSkillInfo { | func parseAttachmentTimestamp(value string) (time.Time, error) {"
"internal\session\recovery_test.go","528","func TestContinuationMessagesKeepsLatestSummaryBoundaryAndTail(t *testing.T) { | func TestContinuationMessagesKeepsClaudeCompactSummaryBoundaryAndTail(t *testing.T) { | func TestContinuationMessagesUsesLatestBoundaryWhenTranscriptContainsMultipleCompactions(t *testing.T) { | func TestContinuationMessagesReturnsCloneWhenNoCompactBoundaryExists(t *testing.T) { | func TestManagerContinuationMessagesUsesRecoveryView(t *testing.T) { | func TestManagerContinuationMessagesSynthesizesCompactionAnchorsFromMetadata(t *testing.T) { | func TestRecoverySnapshotIncludesSessionMetadataAndBothTranscriptViews(t *testing.T) { | func TestManagerRecoverySnapshotUsesPersistedMetadataAndMessages(t *testing.T) { | func TestRecoverySnapshotExposesDerivedResumeAnchors(t *testing.T) { | func TestRecoverySnapshotFallsBackToLatestContinuationMessagesWhenMetadataIDsAreMissing(t *testing.T) { | func TestRecoverySnapshotRestoresInvokedSkillsFromAttachmentMessages(t *testing.T) { | func TestRecoverySnapshotContinuationStateTreatsTrailingAssistantAsReadyForNextPrompt(t *testing.T) { | func TestRecoverySnapshotContinuationStateTreatsTrailingUserAsUnfinishedTurn(t *testing.T) { | func TestRecoverySnapshotContinuationStateTreatsTrailingToolAsUnfinishedTurn(t *testing.T) { | func TestRecoverySnapshotContinuationStateTreatsPendingApprovalAsDistinctBlockedState(t *testing.T) { | func TestRecoverySnapshotContinuationStateUsesCompactionBoundaryWhenOnlyCompactedViewRemains(t *testing.T) { | func TestRecoverySnapshotSynthesizesCompactionBoundaryFromMetadataWhenTranscriptDropsIt(t *testing.T) { | func TestRecoverySnapshotSynthesizesCompactionSummaryFromMetadataWhenTranscriptDropsIt(t *testing.T) { | func TestRecoverySnapshotContinuationStateTreatsEmptyHistoryAsReady(t *testing.T) {"
"internal\store\file\session_store.go","446","var _ store.SessionStore = (*SessionStore)(nil) | type SessionStore struct { | func NewSessionStore(root string) (*SessionStore, error) { | func (s *SessionStore) GetSessionByID(id string) (model.Session, bool) { | func (s *SessionStore) GetSessionByKey(key string) (model.Session, bool) { | func (s *SessionStore) SaveSession(sess model.Session) { | func (s *SessionStore) ListSessions() []model.Session { | func (s *SessionStore) GetMainSessionKey(agentID string) (string, bool) { | func (s *SessionStore) SaveMainSessionKey(agentID, sessionKey string) { | func (s *SessionStore) AppendMessage(msg model.Message) error { | func (s *SessionStore) Messages(sessionID string) ([]model.Message, bool) { | func (s *SessionStore) TranscriptMessages(sessionID string) ([]model.ClaudeTranscriptMessage, bool) { | func (s *SessionStore) TranscriptEntries(sessionID string) ([]model.ClaudeTranscriptEntry, bool) { | func (s *SessionStore) AppendTranscriptMessage(sessionID string, entry model.ClaudeTranscriptMessage) error { | func (s *SessionStore) AppendTranscriptEntry(sessionID string, entry model.ClaudeTranscriptEntry) error { | func (s *SessionStore) ReplaceMessages(sessionID string, messages []model.Message) error { | func (s *SessionStore) ReplaceTranscriptMessages(sessionID string, entries []model.ClaudeTranscriptMessage) error { | func (s *SessionStore) load() error { | func (s *SessionStore) loadSessions() error { | func (s *SessionStore) loadMainSessions() error { | func (s *SessionStore) loadMessages() error { | func (s *SessionStore) persistSessionsLocked() error { | func (s *SessionStore) persistMainSessionsLocked() error { | func (s *SessionStore) appendTranscriptEntriesLocked(sessionID string, entries []model.ClaudeTranscriptEntry) error { | func (s *SessionStore) loadTranscriptMessages(path, sessionID string) ([]model.ClaudeTranscriptEntry, []model.ClaudeTranscriptMessage, []model.Message, error) { | func rawStringPtr(value any) *string { | func transcriptEntries(messages []model.ClaudeTranscriptMessage) []model.ClaudeTranscriptEntry { | func bridgeProgressParent(parent *string, progressParents map[string]*string) *string { | func readJSON(path string, target any) error { | func writeJSON(path string, value any) error {"
"internal\store\file\session_store_test.go","761","func TestSessionStorePersistsSessionsAndMessagesAcrossReload(t *testing.T) { | func TestSessionStoreReplaceMessagesPersistsReplacementAcrossReload(t *testing.T) { | func TestSessionStoreCreatesExpectedFiles(t *testing.T) { | func TestSessionStorePersistsMessagesAsClaudeJSONLParentChain(t *testing.T) { | func TestSessionStoreReplaceMessagesAppendsClaudeCompactBoundaryChain(t *testing.T) { | func TestSessionStoreLoadsLatestNonSidechainLeafFromClaudeTranscript(t *testing.T) { | func TestSessionStorePreservesMetadataEntriesAcrossReload(t *testing.T) { | func TestSessionStoreAppendMetadataEntryPersistsJSONL(t *testing.T) { | func TestSessionStoreAppendMessageContinuesFromMainChainAfterSidechain(t *testing.T) { | func TestSessionStorePersistsAttachmentAsClaudeTranscriptEntry(t *testing.T) { | func TestSessionStoreAppendTranscriptMessageRollsBackInvalidEntry(t *testing.T) { | func TestSessionStoreLoadsNearestUserAssistantLeafWhenTranscriptEndsWithAttachment(t *testing.T) { | func TestSessionStoreBridgesLegacyProgressParentChain(t *testing.T) { | func TestSessionStoreAppendMessageReturnsTranscriptWriteErrorAndDoesNotMutateMemory(t *testing.T) { | func TestSessionStoreReplaceMessagesReturnsTranscriptWriteErrorAndDoesNotMutateMemory(t *testing.T) { | func TestSessionStorePersistsSessionMetadataAcrossReload(t *testing.T) { | func readJSONLLines(t *testing.T, path string) []map[string]any { | func writeTranscriptEntries(t *testing.T, path string, entries []model.ClaudeTranscriptMessage) { | func writeRawJSONLLines(t *testing.T, path string, entries []map[string]any) { | func stringPtr(value string) *string {"
"internal\store\memory\session_store.go","196","var _ store.SessionStore = (*SessionStore)(nil) | type SessionStore struct { | func NewSessionStore() *SessionStore { | func (s *SessionStore) GetSessionByID(id string) (model.Session, bool) { | func (s *SessionStore) GetSessionByKey(key string) (model.Session, bool) { | func (s *SessionStore) SaveSession(sess model.Session) { | func (s *SessionStore) ListSessions() []model.Session { | func (s *SessionStore) GetMainSessionKey(agentID string) (string, bool) { | func (s *SessionStore) SaveMainSessionKey(agentID, sessionKey string) { | func (s *SessionStore) AppendMessage(msg model.Message) error { | func (s *SessionStore) Messages(sessionID string) ([]model.Message, bool) { | func (s *SessionStore) TranscriptMessages(sessionID string) ([]model.ClaudeTranscriptMessage, bool) { | func (s *SessionStore) TranscriptEntries(sessionID string) ([]model.ClaudeTranscriptEntry, bool) { | func (s *SessionStore) AppendTranscriptMessage(sessionID string, entry model.ClaudeTranscriptMessage) error { | func (s *SessionStore) AppendTranscriptEntry(sessionID string, entry model.ClaudeTranscriptEntry) error { | func (s *SessionStore) ReplaceMessages(sessionID string, messages []model.Message) error { | func (s *SessionStore) ReplaceTranscriptMessages(sessionID string, entries []model.ClaudeTranscriptMessage) error {"
"internal\store\memory\session_store_test.go","99","func TestSessionStoreSavesSessionAndMessages(t *testing.T) { | func TestSessionStoreAppendMessageContinuesFromMainChainAfterSidechain(t *testing.T) { | func TestSessionStoreAppendTranscriptMessageRollsBackInvalidEntry(t *testing.T) { | func stringPtr(value string) *string {"
"internal\store\session_store.go","26","type SessionStore interface { | type TranscriptSessionStore interface {"
"internal\tools\system\run.go","379","var _ tools.Tool = (*RunTool)(nil) | var _ tools.AutoClassifyingTool = (*RunTool)(nil) | var _ tools.ContextualTool = (*RunTool)(nil) | const maxShellOutputBytes = 32 * 1024 | type shellExecutionResult struct { | type RunTool struct { | func NewRunTool(router *sandbox.Router) *RunTool { | func NewBashTool(router *sandbox.Router) *RunTool { | func NewPowerShellTool(router *sandbox.Router) *RunTool { | func newShellTool(router *sandbox.Router, name string, aliases []string, description, searchHint string, powershell bool) *RunTool { | func (t *RunTool) Definition() tools.Definition { | func (t *RunTool) Invoke(ctx context.Context, sess session.Session, input string) (string, error) { | func (t *RunTool) InvokeWithContext(ctx context.Context, toolCtx tools.ToolUseContext) (tools.ToolResult, error) { | func (t *RunTool) IsEnabled() bool { | func (t *RunTool) IsReadOnly(input string) bool { | func isSimpleReadOnlyCommand(command string) bool { | func splitCompoundCommand(command string) []string { | func (t *RunTool) IsDestructive(input string) bool { | func (t *RunTool) ToAutoClassifierInput(input string) any { | func (t *RunTool) ShouldDefer() bool { | func (t *RunTool) AlwaysLoad() bool { | func (t *RunTool) PromptDescription() string { | func (t *RunTool) SearchHint() string { | func shellInputSchema() map[string]any { | type shellInput struct { | func parseShellInput(input string) shellInput { | func (t *RunTool) runOptions(toolCtx tools.ToolUseContext) sandbox.RunOptions { | func shellWorkingDirectory(toolCtx tools.ToolUseContext) string { | func shellProgressData(toolName, command string, toolCtx tools.ToolUseContext, timedOut, background bool) map[string]any { | func shellMeta(result shellExecutionResult) map[string]any { | func durationMillis(value any) time.Duration { | func truncateShellOutput(output string) string { | func commandFromInput(input string) string {"
"internal\tools\system\run_test.go","281","type shellTestExecutor struct { | type captureShellOptionsExecutor struct { | func (e shellTestExecutor) Run(ctx context.Context, command string) (string, error) { | func (e shellTestExecutor) RunDetailed(ctx context.Context, command string) (sandbox.ExecutionResult, error) { | func (e *captureShellOptionsExecutor) Run(_ context.Context, command string) (string, error) { | func (e *captureShellOptionsExecutor) RunDetailedWithOptions(_ context.Context, command string, options sandbox.RunOptions) (sandbox.ExecutionResult, error) { | func TestRunToolAutoClassifierInputReturnsCommand(t *testing.T) { | func TestShellReadOnlyClassificationDoesNotAllowCompoundDestructiveCommands(t *testing.T) { | func TestShellToolHonorsTimeoutAndReportsProgress(t *testing.T) { | func TestShellToolBackgroundReturnsImmediatelyAndReportsBackgroundProgress(t *testing.T) { | func TestShellToolTruncatesLargeOutput(t *testing.T) { | func TestShellToolReturnsStructuredResultAndMeta(t *testing.T) { | func TestShellToolUsesToolContextWorkDirWhenProvided(t *testing.T) { | func TestShellToolReturnsStructuredFailureResult(t *testing.T) { | func TestShellToolDispatchesRequestedShellFlavor(t *testing.T) { | func TestShellInputSchemaDoesNotAdvertiseSandboxOverrideWithoutImplementation(t *testing.T) {"
"internal\tools\system\ssh.go","256","var _ tools.Tool = (*SSHTool)(nil) | var _ tools.ContextualTool = (*SSHTool)(nil) | type SSHTool struct { | type SSHInput struct { | type SSHResult struct { | type SSHExecutor interface { | func NewSSHTool(router *sandbox.Router) *SSHTool { | func (t *SSHTool) Definition() tools.Definition { | func (t *SSHTool) Invoke(ctx context.Context, sess session.Session, input string) (string, error) { | func (t *SSHTool) InvokeWithContext(ctx context.Context, toolCtx tools.ToolUseContext) (tools.ToolResult, error) { | func (t *SSHTool) IsEnabled() bool { | func (t *SSHTool) IsReadOnly(input string) bool { | func (t *SSHTool) IsDestructive(input string) bool { | func (t *SSHTool) ShouldDefer() bool { | func (t *SSHTool) AlwaysLoad() bool { | func (t *SSHTool) PromptDescription() string { | func (t *SSHTool) SearchHint() string { | func sshInputSchema() map[string]any { | func parseSSHInput(raw string) (SSHInput, error) { | func intFromAny(value any) (int, bool) { | func renderSSHOutput(result SSHResult) string {"
"internal\tools\system\ssh_executor.go","136","type SystemSSHExecutor struct{} | func NewSystemSSHExecutor() *SystemSSHExecutor { | func (e *SystemSSHExecutor) Execute(ctx context.Context, input SSHInput, progressFn func(tools.ToolProgress)) (SSHResult, error) { | func buildSSHArgs(input SSHInput) []string { | func buildRemoteCommand(input SSHInput) string {"
"internal\tools\system\ssh_test.go","196","type fakeSSHExecutor struct { | func (f *fakeSSHExecutor) Execute(ctx context.Context, input SSHInput, progressFn func(tools.ToolProgress)) (SSHResult, error) { | func TestParseSSHInput_ValidRequiredFields(t *testing.T) { | func TestParseSSHInput_OptionalFieldsAndTrim(t *testing.T) { | func TestParseSSHInput_RejectsPlainString(t *testing.T) { | func TestParseSSHInput_RejectsMalformedJSON(t *testing.T) { | func TestParseSSHInput_RejectsMissingRequired(t *testing.T) { | func TestSSHToolDefinition(t *testing.T) { | func TestBuildSSHArgs(t *testing.T) { | func TestBuildRemoteCommand(t *testing.T) { | func TestSSHToolInvokeWithContext_ResultAndErrorShaping(t *testing.T) {"
"internal\tools\agent_tool.go","417","var _ AutoClassifyingTool = (*AgentTaskTool)(nil) | var _ ContextualTool = (*AgentTaskTool)(nil) | type AgentTaskRunner func(context.Context, session.Session, agent.RunContext, string) (string, error) | type AgentTaskExecutor func(context.Context, AgentTaskRequest) (ToolResult, error) | type AgentTaskRequest struct { | type AgentTaskTool struct { | func NewAgentTaskTool(manager *agent.Manager, run AgentTaskRunner) *AgentTaskTool { | func NewClaudeAgentTool(manager *agent.Manager, run AgentTaskRunner) *AgentTaskTool { | func (t *AgentTaskTool) Definition() Definition { | func (t *AgentTaskTool) Invoke(ctx context.Context, sess session.Session, input string) (string, error) { | func (t *AgentTaskTool) InvokeWithContext(ctx context.Context, toolCtx ToolUseContext) (ToolResult, error) { | func structuredAgentPrompt(input string) (string, bool) { | func (t *AgentTaskTool) IsEnabled() bool { | func (t *AgentTaskTool) IsReadOnly(input string) bool { | func (t *AgentTaskTool) IsDestructive(_ string) bool { | func (t *AgentTaskTool) ToAutoClassifierInput(input string) any { | func (t *AgentTaskTool) ShouldDefer() bool { | func (t *AgentTaskTool) AlwaysLoad() bool { | func (t *AgentTaskTool) PromptDescription() string { | func (t *AgentTaskTool) SearchHint() string { | func (t *AgentTaskTool) spawn(ctx context.Context, sess session.Session, input string) (string, error) { | func (t *AgentTaskTool) list(sess session.Session) string { | func (t *AgentTaskTool) status(sess session.Session, runID string) (string, error) { | func (t *AgentTaskTool) wait(ctx context.Context, sess session.Session, runID string) (string, error) { | func (t *AgentTaskTool) resume(ctx context.Context, sess session.Session, input string) (string, error) { | func (t *AgentTaskTool) steer(sess session.Session, input string) (string, error) { | func (t *AgentTaskTool) stop(sess session.Session, runID string) (string, error) { | func parseAgentTaskInput(input string) (label, prompt string) { | func projectStructuredAgentTaskClassifierInput(input string) (string, bool) { | func ProjectStructuredAgentTaskInputForTest(input string) (AgentTaskRequest, bool) { | func structuredAgentTaskRequest(input string) (AgentTaskRequest, bool) { | func agentTaskExecutorFromAppState(appState map[string]any) AgentTaskExecutor { | func formatAgentTaskClassifierInput(tags []string, prompt string) string { | func formatAgentTaskSummary(action string, run agent.Run, extra map[string]string) string {"
"internal\tools\agent_tool_test.go","361","func TestAgentTaskToolSpawnAndStatus(t *testing.T) { | func TestAgentTaskToolListFiltersByParentSession(t *testing.T) { | func TestAgentTaskToolMetadataMatchesAdvancedToolShape(t *testing.T) { | func TestAgentTaskToolAutoClassifierInputMatchesClaudeAgentProjection(t *testing.T) { | func TestAgentTaskToolSteerAppendsControlMessage(t *testing.T) { | func TestAgentTaskToolStopCancelsRunningRun(t *testing.T) { | func TestAgentTaskToolWaitReturnsCompletedRunSummary(t *testing.T) { | func TestAgentTaskToolResumeReusesChildSession(t *testing.T) { | func TestAgentTaskToolInvokeWithContextUsesAgentTaskExecutor(t *testing.T) { | func TestAgentTaskToolInvokeWithContextFallsBackWhenExecutorMissing(t *testing.T) { | func TestAgentTaskToolStructuredPromptProjectsBackgroundFlag(t *testing.T) { | func TestAgentTaskToolStructuredPromptProjectsIsolationFlag(t *testing.T) { | func TestAgentTaskToolResumeRejectsRunningRun(t *testing.T) {"
"internal\tools\bundled_skills.go","929","type SkillPromptBuilder func(args string, toolCtx ToolUseContext) (string, error) | type BundledSkillOptions struct { | type BundledDebugInfo struct { | type BundledKeybindingsReference struct { | type BundledScheduleInfo struct { | var bundledSkillState = struct { | var bundledSkillExtractState = struct { | var builtinPluginSkillState = struct { | func InitClaudeBundledSkills(opts BundledSkillOptions) { | func RegisterBundledSkill(command SkillCommand) { | func GetBundledSkills() []SkillCommand { | func ClearBundledSkills() { | func lookupBundledSkill(name string) (skillCommand, bool) { | func RegisterBuiltinPluginSkill(pluginName string, command SkillCommand) { | func GetBuiltinPluginSkillCommands() []SkillCommand { | func ClearBuiltinPluginSkills() { | func lookupBuiltinPluginSkill(name string) (skillCommand, bool) { | func normalizeBundledSkill(command skillCommand) skillCommand { | func skillIsEnabled(command skillCommand) bool { | func bundledFeatureEnabled(opts BundledSkillOptions, name string) bool { | func bundledDebugInfoForContext(opts BundledSkillOptions, toolCtx ToolUseContext) BundledDebugInfo { | func bundledSettingsSchemaJSONForContext(opts BundledSkillOptions, toolCtx ToolUseContext) string { | func bundledKeybindingsReferenceForContext(opts BundledSkillOptions, toolCtx ToolUseContext) BundledKeybindingsReference { | func bundledScheduleInfoForContext(opts BundledSkillOptions, toolCtx ToolUseContext) BundledScheduleInfo { | func mergeBundledDebugInfo(base, override BundledDebugInfo) BundledDebugInfo { | func mergeBundledKeybindingsReference(base, override BundledKeybindingsReference) BundledKeybindingsReference { | func mergeBundledScheduleInfo(base, override BundledScheduleInfo) BundledScheduleInfo { | func bundledUpdateConfigSkill(opts BundledSkillOptions) skillCommand { | func bundledKeybindingsHelpSkill(opts BundledSkillOptions) skillCommand { | func bundledVerifySkill() skillCommand { | func bundledDebugSkill(opts BundledSkillOptions) skillCommand { | func bundledLoremIpsumSkill() skillCommand { | func bundledSkillifySkill() skillCommand { | func bundledRememberSkill(opts BundledSkillOptions) skillCommand { | func bundledSimplifySkill() skillCommand { | func bundledBatchSkill() skillCommand { | func bundledStuckSkill() skillCommand { | func bundledLoopSkill() skillCommand { | func bundledScheduleSkill(opts BundledSkillOptions) skillCommand { | func bundledClaudeAPISkill(opts BundledSkillOptions) skillCommand { | func bundledClaudeInChromeSkill() skillCommand { | const verifySkillBody = `# Verify | var verifySkillFiles = map[string]string{ | const updateConfigPrompt = `# Update Config | const hooksDocsPrompt = `# Hooks Configuration | const hookVerificationFlowPrompt = `## Hook Verification Flow | const defaultBundledSettingsSchemaJSON = `{""type"":""object"",""properties"":{""hooks"":{""type"":""object""},""permissions"":{""type"":""object""},""env"":{""type"":""object""}}}` | const keybindingsIntroPrompt = `# Keybindings Help | var claudeAPIModelVars = map[string]string{ | const claudeAPISkillPrompt = `# Claude API | var claudeAPISkillFiles = map[string]string{ | func buildClaudeAPIPrompt(lang string, args string) string { | const claudeAPIInlineReadingGuide = `## Reference Documentation | func claudeAPIFilesForLanguage(lang string) []string { | func buildClaudeAPIInlineReference(filePaths []string) string { | func processClaudeAPIContent(md string) string { | func detectBundledClaudeAPILanguage(cwd string) string { | func mapKeys(input map[string]string) []string { | func sortStrings(values []string) { | func bundledSkillExtractDir(skillName string) string { | func bundledSkillsRoot() string { | func generateBundledLoremIpsum(tokens int) string { | func splitList(value string) []string {"
"internal\tools\bundled_skills_test.go","426","func TestInitClaudeBundledSkillsRegistersDefaultAntDefinitionsInClaudeOrder(t *testing.T) { | func TestBundledSkillsRespectClaudeUserTypeAndFeatureGates(t *testing.T) { | func TestSkillToolInvokesBundledSkillPromptBuilder(t *testing.T) { | func TestBuiltinPluginSkillCommandsUseBundledSourceSemantics(t *testing.T) { | func TestVerifyBundledSkillUsesEmbeddedSkillBodyFilesAndUserRequestSection(t *testing.T) { | func TestClaudeAPIBundledSkillDetectsLanguageAndInlinesReferenceDocs(t *testing.T) { | func TestBundledDynamicPromptProvidersMirrorClaudeSections(t *testing.T) { | func bundledSkillByName(t *testing.T, name string) tools.SkillCommand { | func TestScheduleBundledSkillUsesProviderStates(t *testing.T) { | func TestBundledPromptBuildersResolveDynamicStateAtInvocationTime(t *testing.T) {"
